customerID,gender,SeniorCitizen,tenure,ServiceCount,Contract,PaperlessBilling,MonthlyCharges,TotalCharges,Churn
0786-VSSUD,Male,1,16,3,Month-to-month,Yes,39,679.85,Yes
5568-DMXZS,Female,0,8,5,Month-to-month,Yes,65.45,554.45,No
8468-FZTOE,Female,0,72,7,Two year,Yes,74.35,5237.4,No
6633-SYEUS,Female,0,23,5,Month-to-month,No,83.2,2032.3,No
6447-GORXK,Male,0,31,1,Month-to-month,No,25,789.2,No
6967-PEJLL,Male,0,37,4,One year,Yes,40.2,,No
3976-BWUCK,Female,0,30,6,Month-to-month,Yes,94.1,2804.45,Yes
5981-ZVXOT,Female,1,35,8,One year,Yes,108.35,3726.15,No
1684-FLBGS,Female,0,23,6,Month-to-month,Yes,69.5,1652.1,No
1389-WNUIB,Female,0,20,6,One year,No,76,1588.75,No
0376-OIWME,Male,0,36,5,Month-to-month,Yes,93.6,3366.05,No
3585-ISXZP,Female,0,8,5,Month-to-month,No,95.65,778.1,Yes
0218-QNVAS,Male,0,71,6,One year,No,100.55,7113.75,No
6583-QGCSI,Female,1,50,5,Month-to-month,Yes,88.05,4367.35,Yes
0804-YGEQV,Female,0,43,8,One year,Yes,24.45,993.15,No
7164-BPTUT,Male,0,57,9,Two year,No,89.55,5012.35,No
4174-LPGTI,Female,0,41,5,One year,Yes,66.5,2728.6,Yes
2523-EWWZL,Female,0,27,3,Month-to-month,Yes,76.1,2093.4,No
0928-XUTSN,Female,0,13,3,Month-to-month,Yes,80.5,1011.8,No
2108-XWMPY,Male,0,3,3,Month-to-month,Yes,35.45,106.85,Yes
0052-YNYOT,Female,0,67,7,One year,No,20.55,1343.4,No
6304-IJFSQ,Male,0,3,3,Month-to-month,Yes,49.9,130.1,Yes
9586-JGQKH,Female,0,64,7,Two year,Yes,105.4,6794.75,No
4501-VCPFK,Male,0,26,3,Month-to-month,No,35.75,1022.5,No
6075-SLNIL,Male,0,38,6,Month-to-month,Yes,95.1,3691.2,No
9347-AERRL,Male,0,23,7,One year,No,19.3,486.2,No
0093-XWZFY,Male,0,40,7,Month-to-month,Yes,104.5,4036.85,Yes
2274-XUATA,Male,1,72,7,Two year,Yes,63.1,4685.55,No
1980-KXVPM,Female,1,3,3,Month-to-month,Yes,75.05,256.25,Yes
7703-ZEKEF,Male,0,23,4,Month-to-month,Yes,81,1917.1,Yes
0723-DRCLG,Female,1,1,3,Month-to-month,Yes,74.45,74.45,Yes
5482-NUPNA,Female,0,4,5,Month-to-month,Yes,60.4,272.15,Yes
6691-CCIHA,Female,0,62,8,Two year,Yes,84.95,5150.55,No
1685-BQULA,Female,0,40,6,Month-to-month,Yes,93.4,3756.4,No
9053-EJUNL,Male,0,41,5,Month-to-month,Yes,89.2,3645.75,No
0666-UXTJO,Male,1,34,4,Month-to-month,Yes,85.2,2874.45,No
1471-GIQKQ,Female,0,1,3,Month-to-month,No,49.95,49.95,No
4807-IZYOZ,Female,0,51,7,Two year,No,20.65,1020.75,No
1122-JWTJW,Male,0,1,2,Month-to-month,Yes,70.65,70.65,Yes
9710-NJERN,Female,0,39,7,Two year,No,20.15,826,No
9837-FWLCH,Male,0,12,7,Month-to-month,Yes,19.2,239,No
1699-HPSBG,Male,0,12,4,One year,Yes,59.8,727.8,Yes
7203-OYKCT,Male,0,72,7,One year,Yes,104.95,7544.3,No
1035-IPQPU,Female,1,63,7,Month-to-month,Yes,103.5,6479.4,No
7398-LXGYX,Male,0,44,5,Month-to-month,Yes,84.8,3626.35,No
2823-LKABH,Female,0,18,6,Month-to-month,Yes,95.05,1679.4,No
8775-CEBBJ,Female,0,9,2,Month-to-month,Yes,44.2,403.35,Yes
0550-DCXLH,Male,0,13,6,Month-to-month,No,73.35,931.55,No
9281-CEDRU,Female,0,68,5,Two year,No,64.1,4326.25,No
2235-DWLJU,Female,1,6,3,Month-to-month,Yes,44.4,263.05,No
0871-OPBXW,Female,0,2,7,Month-to-month,Yes,20.05,39.25,No
3605-JISKB,Male,1,55,5,One year,No,60,3316.1,No
6894-LFHLY,Male,1,1,3,Month-to-month,Yes,75.75,75.75,Yes
9767-FFLEM,Male,0,38,2,Month-to-month,Yes,69.5,2625.25,No
0639-TSIQW,Female,0,67,7,Month-to-month,Yes,102.95,6886.25,Yes
8456-QDAVC,Male,0,19,3,Month-to-month,Yes,78.7,1495.1,No
7750-EYXWZ,Female,0,12,6,One year,No,60.65,743.3,No
2569-WGERO,Female,0,72,7,Two year,Yes,21.15,1419.4,No
6840-RESVB,Male,0,24,8,One year,Yes,84.8,1990.5,No
2234-XADUH,Female,0,72,7,One year,Yes,103.2,7362.9,No
4801-JZAZL,Female,0,11,2,Month-to-month,Yes,29.6,346.45,No
8361-LTMKD,Male,1,4,3,Month-to-month,Yes,74.4,306.6,Yes
3186-AJIEK,Male,0,66,7,Two year,Yes,105.65,6844.5,No
